"x_","y_","t_","id"
720826.845065007,-2863472.71486204,2016-08-08 11:05:00,"ID2"
720823.773981706,-2863471.97622914,2016-08-08 12:05:00,"ID2"
720821.207464368,-2863473.79213346,2016-08-08 13:05:00,"ID2"
720820.69525309,-2863473.79059958,2016-08-08 14:05:00,"ID2"
720825.491728475,-2863468.51655137,2016-08-08 15:05:00,"ID2"
720827.669616134,-2863539.46057987,2016-08-09 04:28:00,"ID2"
720776.717163057,-2863449.58749793,2016-08-09 05:55:00,"ID2"
720779.348467418,-2863450.57230199,2016-08-09 06:55:00,"ID2"
720777.073581352,-2863450.29976641,2016-08-09 07:55:00,"ID2"
713721.294133753,-2859703.5892001,2016-08-09 08:55:00,"ID2"
706349.772673279,-2881907.22663293,2016-08-09 09:55:00,"ID2"
690087.919224688,-2891284.43851153,2016-08-09 10:55:00,"ID2"
690095.067434973,-2891292.10354296,2016-08-09 11:55:00,"ID2"
690022.003696363,-2891409.83780939,2016-08-09 12:55:00,"ID2"
686935.030381443,-2908169.8535106,2016-08-09 13:55:00,"ID2"
680406.94424577,-2913091.81577024,2016-08-09 14:55:00,"ID2"
680414.113725463,-2913091.83604075,2016-08-10 04:36:00,"ID2"
680400.823641018,-2913083.07499872,2016-08-10 05:18:00,"ID2"
680411.02875935,-2913096.18904987,2016-08-10 06:01:00,"ID2"
680407.959208228,-2913095.08993853,2016-08-10 06:44:00,"ID2"
679071.865325809,-2912550.45129554,2016-08-10 07:20:00,"ID2"
679071.310512409,-2912551.62408619,2016-08-10 08:20:00,"ID2"
677393.837190036,-2924319.1102885,2016-08-10 09:20:00,"ID2"
677396.280460724,-2924324.34715352,2016-08-10 10:20:00,"ID2"
677393.423844121,-2924320.41662198,2016-08-10 11:20:00,"ID2"
677341.791923207,-2924252.49920134,2016-08-10 12:20:00,"ID2"
677340.271011554,-2924247.0469896,2016-08-10 13:20:00,"ID2"
677343.861718938,-2924244.87792351,2016-08-10 14:20:00,"ID2"
677398.948806785,-2924322.39341974,2016-08-10 15:20:00,"ID2"
677390.77390038,-2924315.83292252,2016-08-11 04:28:00,"ID2"
677394.852152433,-2924322.3818879,2016-08-11 05:28:00,"ID2"
677398.09151885,-2924320.55592317,2016-08-11 06:28:00,"ID2"
677339.443047008,-2924359.27161596,2016-08-11 07:28:00,"ID2"
677364.072240774,-2923977.98362357,2016-08-11 08:28:00,"ID2"
677393.824921783,-2924323.46857693,2016-08-11 09:28:00,"ID2"
693610.021110768,-2928775.24928179,2016-08-11 10:28:00,"ID2"
693608.99382656,-2928776.33556625,2016-08-11 11:28:00,"ID2"
693705.987445467,-2928703.09090081,2016-08-11 12:28:00,"ID2"
